name,calories,portion,unite
"Barre-céréales croustillantes au chocolat ""weight watchers"", par barre de 30 g",111,100,gramme
"Barre-céréales fraise-chocolat blanc ""Seva'd""",86,100,gramme
"Barre-céréales fraises & cranberry goût yaourt ""weight watchers""",367,100,gramme
"Barre-céréales fraises & cranberry goût yaourt ""weight watchers"" par barre de 25 g",92,100,gramme
Barre-céréales fruits rouges Casino,383,1,paquet
Barre-céréales fruits rouges Casino,80,1,unité
Barre-céréales raisin-noix de coco farham - netto,415,100,gramme
"Barre-céréales raisin-noix de coco farham - netto, 1 barre",87,100,gramme
"Barre-céréales riz & blé complet - chocolat ""ondilège""",392,100,gramme
"Barre-céréales riz & blé complet - chocolat ""ondilège"", 1 barre de 21 g",82,100,gramme
"Barre-céréales riz & blé complet - fruits rouges ""ondilège""",376,100,gramme
"Barre-céréales riz & blé complet - fruits rouges ""ondilège"", 1 barre de 21 g",79,100,gramme
"Barre-céréales seigle-blé complet aux figues ""grany""",385,100,gramme
"Barre-céréales seigle-blé complet aux figues ""grany"", 1 barre 21 g",81,100,gramme
Barres amande gayelord hauser : par unité de 25 g,113,100,gramme
Barres aux noisettes et amandes (lidl) Amora,102,1,unité
"Barres céréales abricot, épi d'or Leclerc marque repère",393,100,gramme
"Barres céréales choco lait coco, epi d'or Leclerc marque repère",455,100,gramme
"Barres céréales chocolat noir, épi d'or Leclerc marque repère",399,100,gramme
"Barres céréales fruits rouges, epi d'or Leclerc marque repère",413,100,gramme
"Barres céréales pomme verte, epi d'or Leclerc marque repère",380,100,gramme
Barres céréalières à la fraise et au chocolat blanc de leader price,430,100,gramme
Barres céréalières abricot - pomme,388,100,gramme
Barres cerealieres chocolat banane Auchan,422,100,gramme
Barres céréalières fraise-chocolat blanc leader price : par unité de 25 g,110,100,gramme
Barres céréalières swing raisins noix de coco chez aldi,428,100,gramme
Barres céréalières swing raisins noix de coco chez aldi unité de 21 g,90,100,gramme
Barres de céréales  à la mangue et au thé vert(6) Delhaize,159,138,gramme
Barres de céréales abricot - pomme Eco+,81,1,unité
Barres de céréales ananas swing aldi,393,100,gramme
"Barres de céréales au riz et blé complet aux figues ""fine ligne"" leader price : par unité de 23,5 g",87,100,gramme
Barres de céréales chocolat noir et cacahuètes eco+,452,100,gramme
Barres de céréales chocolat-banane senso réva : par unité,88,100,gramme
Barres de céréales fraise-myrtille-framboise (marque répère épi d'or),410,100,gramme
Barres de céréales noisette aptonia,419,100,gramme
